Time Flow_BTPS O2 CO2 N2 MMss SampleFlow MMms DelayO2 DelayMMss
755 0.90327301 20.91491 0.08254 78.06874 28.57903 -0.00346668 29.18425 0.56445 0.64353
760 0.90219299 20.91826 0.08254 78.06543 28.57908 -0.00346562 29.18377 0.56446 0.64354
765 0.90099847 20.92135 0.08254 78.06237 28.57911 -0.00346488 29.18332 0.56429 0.64354
770 0.89969684 20.92435 0.08254 78.05941 28.57915 -0.00346429 29.18286 0.56411 0.64354
775 0.89831543 20.92702 0.08254 78.05677 28.57915 -0.00346363 29.18240 0.56411 0.64337
780 0.89687115 20.92952 0.08254 78.05430 28.57914 -0.00346345 29.18193 0.56413 0.64321
785 0.89534143 20.93180 0.08254 78.05205 28.57914 -0.00346378 29.18146 0.56416 0.64307
790 0.89370593 20.93400 0.08254 78.04987 28.57911 -0.00346417 29.18100 0.56423 0.64297
795 0.89193298 20.93588 0.08254 78.04801 28.57907 -0.00346466 29.18052 0.56433 0.64309
800 0.89002094 20.93744 0.08254 78.04647 28.57899 -0.00346575 29.18005 0.56430 0.64305
805 0.88800928 20.93866 0.08254 78.04527 28.57890 -0.00346722 29.17958 0.56428 0.64304
810 0.88593805 20.93955 0.08254 78.04439 28.57877 -0.00346881 29.17913 0.56444 0.64320
815 0.88380719 20.94009 0.08254 78.04385 28.57861 -0.00347074 29.17871 0.56461 0.64338
820 0.88163123 20.94011 0.08254 78.04383 28.57845 -0.00347299 29.17828 0.56445 0.64356
825 0.87939697 20.93981 0.08254 78.04414 28.57825 -0.00347553 29.17785 0.56429 0.64373
830 0.87711633 20.93918 0.08254 78.04475 28.57802 -0.00347829 29.17745 0.56443 0.64370
835 0.87476160 20.93822 0.08254 78.04570 28.57777 -0.00348099 29.17704 0.56454 0.64381
840 0.87234668 20.93694 0.08254 78.04697 28.57749 -0.00348404 29.17666 0.56465 0.64392
845 0.86988458 20.93534 0.08254 78.04855 28.57718 -0.00348766 29.17630 0.56476 0.64385
850 0.86738690 20.93345 0.08254 78.05042 28.57687 -0.00349134 29.17594 0.56487 0.64379
855 0.86489453 20.93127 0.08254 78.05257 28.57658 -0.00349482 29.17561 0.56481 0.64373
860 0.86239417 20.92883 0.08254 78.05498 28.57629 -0.00349807 29.17529 0.56474 0.64366
865 0.85990271 20.92597 0.08254 78.05780 28.57602 -0.00350181 29.17498 0.56468 0.64361
870 0.85744934 20.92292 0.08254 78.06081 28.57576 -0.00350552 29.17469 0.56465 0.64342
875 0.85502185 20.91970 0.08254 78.06400 28.57553 -0.00350872 29.17444 0.56484 0.64328
880 0.85262830 20.91632 0.08254 78.06734 28.57533 -0.00351189 29.17420 0.56489 0.64350
885 0.85025513 20.91282 0.08254 78.07080 28.57512 -0.00351523 29.17400 0.56495 0.64371
890 0.84793024 20.90922 0.08254 78.07436 28.57494 -0.00351850 29.17385 0.56514 0.64390
895 0.84567053 20.90557 0.08254 78.07796 28.57473 -0.00352143 29.17369 0.56532 0.64407
900 0.84347028 20.90209 0.08254 78.08141 28.57451 -0.00352478 29.17356 0.56547 0.64422
905 0.84131287 20.89862 0.08254 78.08484 28.57429 -0.00352781 29.17346 0.56560 0.64434
910 0.83917731 20.89522 0.08254 78.08820 28.57405 -0.00353052 29.17337 0.56552 0.64443
915 0.83706866 20.89176 0.08254 78.09162 28.57383 -0.00353365 29.17331 0.56561 0.64435
920 0.83502112 20.88848 0.08253 78.09485 28.57355 -0.00353723 29.17323 0.56571 0.64429
925 0.83304785 20.88543 0.08253 78.09787 28.57326 -0.00354031 29.17315 0.56566 0.64425
930 0.83112988 20.88263 0.08253 78.10063 28.57299 -0.00354317 29.17309 0.56565 0.64424
935 0.82926044 20.88012 0.08253 78.10312 28.57268 -0.00354607 29.17305 0.56566 0.64425
940 0.82742358 20.87791 0.08253 78.10530 28.57236 -0.00354925 29.17298 0.56567 0.64425
945 0.82561584 20.87604 0.08253 78.10715 28.57207 -0.00355249 29.17290 0.56565 0.64422
950 0.82380164 20.87451 0.08253 78.10866 28.57181 -0.00355581 29.17278 0.56543 0.64417
955 0.82195490 20.87335 0.08253 78.10981 28.57157 -0.00355896 29.17267 0.56520 0.64430
960 0.82007849 20.87256 0.08253 78.11059 28.57141 -0.00356168 29.17254 0.56534 0.64427
965 0.81821570 20.87213 0.08253 78.11101 28.57130 -0.00356467 29.17241 0.56550 0.64426
970 0.81638068 20.87207 0.08253 78.11107 28.57127 -0.00356789 29.17224 0.56567 0.64425
